使用设备: cuda
加载CINIC-10数据集...
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
CINIC-10数据集加载和预处理完成.
--- 开始在 cinic10 数据集上进行原版VFL训练 (共 30 个周期) ---
周期 [2/30], 批次 [740/1407], 损失: 1.3814, 平均损失: 1.4479
周期 [2/30], 批次 [750/1407], 损失: 1.1741, 平均损失: 1.4463
周期 [2/30], 批次 [760/1407], 损失: 1.4815, 平均损失: 1.4456
周期 [2/30], 批次 [770/1407], 损失: 1.3341, 平均损失: 1.4455
周期 [2/30], 批次 [780/1407], 损失: 1.2338, 平均损失: 1.4444
周期 [2/30], 批次 [790/1407], 损失: 1.1911, 平均损失: 1.4437
周期 [2/30], 批次 [800/1407], 损失: 1.6475, 平均损失: 1.4435
周期 [2/30], 批次 [810/1407], 损失: 1.7095, 平均损失: 1.4435
周期 [2/30], 批次 [820/1407], 损失: 1.3182, 平均损失: 1.4428
周期 [2/30], 批次 [830/1407], 损失: 1.3420, 平均损失: 1.4414
周期 [2/30], 批次 [840/1407], 损失: 1.3770, 平均损失: 1.4418
周期 [2/30], 批次 [850/1407], 损失: 1.3643, 平均损失: 1.4414
周期 [2/30], 批次 [860/1407], 损失: 1.3422, 平均损失: 1.4408
周期 [2/30], 批次 [870/1407], 损失: 1.3547, 平均损失: 1.4396
周期 [2/30], 批次 [880/1407], 损失: 1.3535, 平均损失: 1.4382
周期 [2/30], 批次 [890/1407], 损失: 1.2428, 平均损失: 1.4383
周期 [2/30], 批次 [900/1407], 损失: 1.2181, 平均损失: 1.4375
周期 [2/30], 批次 [910/1407], 损失: 1.5824, 平均损失: 1.4371
周期 [2/30], 批次 [920/1407], 损失: 1.2068, 平均损失: 1.4358
周期 [2/30], 批次 [930/1407], 损失: 1.3142, 平均损失: 1.4347
周期 [2/30], 批次 [940/1407], 损失: 1.4091, 平均损失: 1.4346
周期 [2/30], 批次 [950/1407], 损失: 1.2014, 平均损失: 1.4332
周期 [2/30], 批次 [960/1407], 损失: 1.5378, 平均损失: 1.4331
周期 [2/30], 批次 [970/1407], 损失: 1.4846, 平均损失: 1.4331
周期 [2/30], 批次 [980/1407], 损失: 1.4460, 平均损失: 1.4329
周期 [2/30], 批次 [990/1407], 损失: 1.4477, 平均损失: 1.4321
周期 [2/30], 批次 [1000/1407], 损失: 1.3200, 平均损失: 1.4317
周期 [2/30], 批次 [1010/1407], 损失: 1.3360, 平均损失: 1.4307
周期 [2/30], 批次 [1020/1407], 损失: 1.1932, 平均损失: 1.4298
周期 [2/30], 批次 [1030/1407], 损失: 1.6084, 平均损失: 1.4295
周期 [2/30], 批次 [1040/1407], 损失: 1.3636, 平均损失: 1.4289
周期 [2/30], 批次 [1050/1407], 损失: 1.5222, 平均损失: 1.4288
周期 [2/30], 批次 [1060/1407], 损失: 1.4108, 平均损失: 1.4280
周期 [2/30], 批次 [1070/1407], 损失: 1.2487, 平均损失: 1.4275
周期 [2/30], 批次 [1080/1407], 损失: 1.4360, 平均损失: 1.4262
周期 [2/30], 批次 [1090/1407], 损失: 1.6172, 平均损失: 1.4265
周期 [2/30], 批次 [1100/1407], 损失: 1.2625, 平均损失: 1.4259
周期 [2/30], 批次 [1110/1407], 损失: 1.3463, 平均损失: 1.4249
周期 [2/30], 批次 [1120/1407], 损失: 1.4252, 平均损失: 1.4242
周期 [2/30], 批次 [1130/1407], 损失: 1.4546, 平均损失: 1.4234
周期 [2/30], 批次 [1140/1407], 损失: 1.3272, 平均损失: 1.4233
周期 [2/30], 批次 [1150/1407], 损失: 1.2358, 平均损失: 1.4217
周期 [2/30], 批次 [1160/1407], 损失: 1.4268, 平均损失: 1.4213
周期 [2/30], 批次 [1170/1407], 损失: 1.4847, 平均损失: 1.4210
周期 [2/30], 批次 [1180/1407], 损失: 1.2132, 平均损失: 1.4204
周期 [2/30], 批次 [1190/1407], 损失: 1.3460, 平均损失: 1.4196
周期 [2/30], 批次 [1200/1407], 损失: 1.2191, 平均损失: 1.4187
周期 [2/30], 批次 [1210/1407], 损失: 1.5637, 平均损失: 1.4184
周期 [2/30], 批次 [1220/1407], 损失: 1.3611, 平均损失: 1.4177
周期 [2/30], 批次 [1230/1407], 损失: 1.2494, 平均损失: 1.4171
周期 [2/30], 批次 [1240/1407], 损失: 1.1678, 平均损失: 1.4162
周期 [2/30], 批次 [1250/1407], 损失: 1.2274, 平均损失: 1.4158
周期 [2/30], 批次 [1260/1407], 损失: 1.3677, 平均损失: 1.4150
周期 [2/30], 批次 [1270/1407], 损失: 1.2037, 平均损失: 1.4142
周期 [2/30], 批次 [1280/1407], 损失: 1.5764, 平均损失: 1.4144
周期 [2/30], 批次 [1290/1407], 损失: 1.5379, 平均损失: 1.4136
周期 [2/30], 批次 [1300/1407], 损失: 1.5086, 平均损失: 1.4131
周期 [2/30], 批次 [1310/1407], 损失: 1.3997, 平均损失: 1.4130
周期 [2/30], 批次 [1320/1407], 损失: 1.2580, 平均损失: 1.4121
